stock_symbol,operating_profit_sep_2021,operating_profit_sep_2022,eps_sep_2021,eps_sep_2022,promoter_holding_sep_2021,promoter_holding_sep_2022,public_holding_sep_2021,public_holding_sep_2022
INDSWFTLAB,55,57,4.04,4.07,42.00,42.01,38.50,38.51
INDTERRAIN,8.56,16.36,0.48,1.96,28.01,29.12,60.08,64.01
INEOSSTYRO,125,40,51.20,13.42,75.00,61.19,19.52,32.79
INFOMEDIA,0.01,-0.00,-0.15,-0.16,50.69,50.69,48.06,48.06
INOXLEISUR,16,85,-7.16,-3.30,43.63,44.04,14.74,11.27
INSECTICID,64,68,14.11,15.09,72.16,72.16,13.22,10.58
INTENTECH,3.90,5.87,1.17,1.93,18.08,18.08,81.92,81.91
IOB,None,None,0.20,0.27,96.38,96.38,2.24,2.16
IOLCP,44,32,5.25,2.67,43.69,43.69,53.18,53.84
IPL,None,None,None,None,None,None,None,None
IRCTC,212,305,1.98,2.83,67.40,67.40,16.31,21.23
IRISDOREME,6.72,6.73,2.14,2.14,None,None,None,None
ISGEC,35,62,3.70,6.24,62.43,62.43,28.59,27.99
ITDC,1,12,0.47,1.44,87.03,87.03,12.97,10.38
IVC,-0.95,0.10,-0.03,0.08,50.42,50.42,49.57,49.58
IWEL,None,None,None,None,None,None,None,None
JAGRAN,98,82,2.54,2.10,69.40,69.42,16.15,17.01
JAIBALAJI,53,63,0.64,1.66,50.98,55.90,45.56,44.11
JAIPURKURT,None,None,None,None,None,None,None,None
JASH,4,16,2.51,13.62,None,None,None,None
JAYNECOIND,431,110,1.16,1.45,68.79,48.03,31.21,51.95
JBCHEPHARM,115,166,11.44,12.64,55.91,53.96,20.12,18.91
JCHAC,6,-54,-3.41,-19.47,74.25,74.25,11.21,13.01
JHS,0.85,-1.97,0.07,-0.09,41.77,42.23,58.23,57.77
JINDALSAW,329,250,3.99,1.91,63.02,63.03,23.04,23.79
JINDRILL,17,48,2.60,12.34,67.42,67.42,32.48,32.06
JISLJALEQS,78,82,-0.76,-0.20,28.64,28.37,65.76,55.67
JKCEMENT,329,297,21.85,16.16,57.62,45.84,4.89,16.63
JKPAPER,217,458,6.97,14.86,49.52,49.64,44.00,39.85
JMA,5.10,4.85,2.20,2.33,None,None,None,None
JMFINANCIL,106,35,1.34,0.88,54.81,56.02,13.00,13.57
JPINFRATEC,4,75,-4.24,-4.40,60.98,60.98,35.61,35.62
JSL,711,411,7.19,3.60,68.60,70.09,10.43,10.71
JSWENERGY,208,192,0.81,0.95,74.66,74.69,11.70,9.65
JSWSTEEL,8673,1742,22.27,-0.38,44.09,45.20,34.80,33.70
JUBLINGREA,None,None,None,None,None,None,None,None
JWL,34,50,1.82,0.64,60.65,74.62,30.02,23.19
KABRAEXTRU,12.17,18.05,2.10,2.98,59.46,60.44,39.52,39.06
KAKATCEM,8.82,-7.29,9.74,-6.42,54.26,53.85,45.74,46.12
KALYANIFRG,5.54,1.61,3.00,-2.97,58.61,58.61,41.39,41.38
KAMDHENU,10.74,12.20,2.97,3.06,64.29,58.74,35.08,39.48
KANPRPLA,9.67,2.80,2.72,-1.15,72.33,66.74,27.60,33.27
KARMAENG,2.24,3.16,0.38,1.88,74.70,74.70,25.30,25.30
KAVVERITEL,-0.07,-0.01,-2.26,-0.26,15.14,15.68,57.55,60.95
KCP,71,-13,2.33,-1.75,43.86,43.98,54.07,53.21
KEC,315,230,5.14,1.39,51.82,51.88,10.07,10.03
KEERTI,0.04,0.27,0.03,0.30,None,None,None,None
KENNAMET,45,47,12.88,14.29,75.00,75.00,11.48,11.52
KEYFINSERV,1.55,1.24,2.11,1.99,57.88,56.42,34.77,36.22
KHAICHEM,41,31,2.91,1.76,74.99,75.00,25.00,24.82
KICL,18,38,28.43,66.00,74.97,74.98,21.92,22.24
KINGFA,14,34,6.15,18.24,74.99,74.99,18.68,18.69
KIRLFER,186,138,8.66,5.91,59.08,56.68,28.24,32.04
KIRLOSIND,43,45,38.37,42.96,72.84,72.38,22.66,23.15
KKCL,32,50,4.39,6.35,74.25,74.25,6.48,16.21
KOHINOOR,-3.30,3.35,-1.36,0.47,54.56,39.36,45.10,60.58
KOPRAN,5,6,0.87,3.71,43.78,44.25,55.50,55.09
KOTHARIPET,14.76,13.82,1.63,1.62,None,None,None,None
KOVAI,64,68,22.07,27.67,55.74,55.76,40.46,40.19
KPRMILL,308,265,6.39,5.94,74.72,74.78,8.77,8.61
KRIDHANINF,-0.31,-0.19,-0.96,-0.02,47.15,47.15,48.44,48.44
KRITIKA,None,None,None,None,None,None,None,None
KSCL,3.09,3.65,1.91,0.47,57.28,57.44,16.99,19.60
KUANTUM,40,99,1.20,6.04,70.30,70.31,29.69,29.69
LAKPRE,-2,0,-16.54,-11.57,62.85,62.85,37.11,37.11
LAMBODHARA,6.58,8.92,4.45,5.95,72.65,72.95,27.12,26.65
LASA,1.25,-0.33,-3.38,-1.63,64.47,43.78,35.52,56.21
